id,code,airport_name,city_name,latitude,longitude,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
1,ATL,Hartsfield ,Atlanta,33.6413193,-84.4501419,923996,950119,970235,978824,994346,994346,980386,964858,911723,889966,890494,915454,-0.03,-0.02,-0.01,-0.02,0,0.01,0.02,0.06,0.02,0,-0.03,
2,BOS,Logan,Boston,42.3716888,-71.0280991,368987,352643,345306,371604,399537,406119,409066,405258,373304,392079,454625,478873,0.05,0.02,-0.07,-0.07,-0.02,-0.01,0.01,0.09,-0.05,-0.14,-0.05,
3,CLT,Charlotte Douglas,Charlotte,35.2226295,-80.946022,539842,529101,509448,536253,522541,509559,521878,427390,443394,455516,461264,452009,0.02,0.04,-0.05,0.03,0.03,-0.02,0.22,-0.04,-0.03,-0.01,0.02,
4,ORD,O'Hare,Chicago,41.9798088,-87.8820419,878798,882617,827899,881566,926973,958643,972248,992427,928691,922817,911917,908989,0,0.07,-0.06,-0.05,-0.03,-0.01,-0.02,0.07,0.01,0.01,0,
5,DFW,Dallas/Ft. Worth,Dallas/Ft. Worth,32.8658218,-97.0399094,646803,652261,638782,656310,685491,699344,711878,804865,765296,765109,783546,837779,-0.01,0.02,-0.03,-0.04,-0.02,-0.02,-0.12,0.05,0,-0.02,-0.06,
6,DEN,Denver,Denver,39.83881,-104.6718521,628796,630063,607019,619503,614065,597156,560669,560198,499794,494834,486030,520073,0,0.04,-0.02,0.01,0.03,0.07,0,0.12,0.01,0.02,-0.07,
7,DTW,Detroit,Detroit,42.2304306,-83.3429031,443028,452616,432589,462520,467230,481740,521899,522538,491073,490885,522132,555375,-0.02,0.05,-0.06,-0.01,-0.03,-0.08,0,0.06,0,-0.06,-0.06,
8,IAH,Bush,Houston,29.97859,-95.3423996,517262,531347,538168,576062,603656,602672,562966,517197,474913,456831,470916,483570,-0.03,-0.01,-0.07,-0.05,0,0.07,0.09,0.09,0.04,-0.03,-0.03,
9,LAS,McCarran,Las Vegas,36.080471,-115.1433105,531538,505591,511064,578949,609472,619486,605046,544679,501029,496845,493722,521300,0.05,-0.01,-0.12,-0.05,-0.02,0.02,0.11,0.09,0.01,0.01,-0.05,
10,LAX,Los Angeles,Los Angeles,33.9455986,-118.3923035,702895,666938,634383,622506,680954,656842,650629,655097,622378,645424,738114,783433,0.05,0.05,0.02,-0.09,0.04,0.01,-0.01,0.05,-0.04,-0.13,-0.06,
11,MIA,Miami,Miami,25.7948704,-80.2722626,394572,376208,351417,371519,386058,384477,381610,400864,417423,446235,471008,517440,0.05,0.07,-0.05,-0.04,0,0.01,-0.05,-0.04,-0.06,-0.05,-0.09,
12,MSP,Minneapolis,Minneapolis,44.8797188,-93.1997375,436506,436625,432395,450044,452972,474998,532240,541093,510382,507669,501465,523146,0,0.01,-0.04,-0.01,-0.05,-0.11,-0.02,0.06,0.01,0.01,-0.04,
13,JFK,JFK,New York,40.6437111,-73.7900085,408730,399626,416945,441425,446348,380922,350063,320092,280318,287699,294026,345311,0.02,-0.04,-0.06,-0.01,0.17,0.09,0.09,0.14,-0.03,-0.02,-0.15,
14,LGA,LaGuardia,New York,40.7730789,-73.8756332,366597,362137,354594,379414,391872,400298,404853,398957,374952,362439,367871,384554,0.01,0.02,-0.07,-0.03,-0.02,-0.01,0.01,0.06,0.03,-0.01,-0.04,
15,EWR,Newark,Newark,40.6928787,-74.1854477,410024,403880,411607,434428,435691,444696,437402,437828,405808,405562,436420,450187,0.02,-0.02,-0.05,0,-0.02,0.02,0,0.08,0,-0.07,-0.03,
16,PHL,Philadelphia,Philadelphia,39.8747101,-75.2518997,448129,460779,472668,492038,499653,515869,535666,486164,446529,463167,466985,484308,-0.03,-0.03,-0.04,-0.02,-0.03,-0.04,0.1,0.09,-0.04,-0.01,-0.04,
17,PHX,Sky Harbor,Phoenix,33.4375801,-112.0312271,461989,449351,457207,502499,539211,546510,555256,546763,541771,545771,553310,637779,0.03,-0.02,-0.09,-0.07,-0.01,-0.02,0.02,0.01,-0.01,-0.01,-0.13,
18,SLC,Salt Lake City,Salt Lake City,40.7862206,-111.9822693,358002,362654,372300,389321,422010,421684,455472,411978,400452,406994,370282,366933,-0.01,-0.03,-0.04,-0.08,0,-0.07,0.11,0.03,-0.02,0.1,0.01,
19,SFO,San Francisco,San Francisco,37.614769,-122.3917923,403564,387248,379751,387710,379500,359201,352871,353231,334515,351453,387594,429222,0.04,0.02,-0.02,0.02,0.06,0.02,0,0.06,-0.05,-0.09,-0.1,
