id,code,airport_name,city_name,latitude,longitude,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
1,ATL,Hartsfield ,Atlanta,33.6413193,-84.4501419,-0.03,-0.02,-0.01,-0.02,0.00,0.01,0.02,0.06,0.02,0.00,-0.03,
2,BOS,Logan,Boston,42.3716888,-71.0280991,0.05,0.02,-0.07,-0.07,-0.02,-0.01,0.01,0.09,-0.05,-0.14,-0.05,
3,CLT,Charlotte Douglas,Charlotte,35.2226295,-80.946022,0.02,0.04,-0.05,0.03,0.03,-0.02,0.22,-0.04,-0.03,-0.01,0.02,
4,ORD,O'Hare,Chicago,41.9798088,-87.8820419,0.00,0.07,-0.06,-0.05,-0.03,-0.01,-0.02,0.07,0.01,0.01,0.00,
5,DFW,Dallas/Ft. Worth,Dallas/Ft. Worth,32.8658218,-97.0399094,-0.01,0.02,-0.03,-0.04,-0.02,-0.02,-0.12,0.05,0.00,-0.02,-0.06,
6,DEN,Denver,Denver,39.83881,-104.6718521,0.00,0.04,-0.02,0.01,0.03,0.07,0.00,0.12,0.01,0.02,-0.07,
7,DTW,Detroit,Detroit,42.2304306,-83.3429031,-0.02,0.05,-0.06,-0.01,-0.03,-0.08,0.00,0.06,0.00,-0.06,-0.06,
8,IAH,Bush,Houston,29.97859,-95.3423996,-0.03,-0.01,-0.07,-0.05,0.00,0.07,0.09,0.09,0.04,-0.03,-0.03,
9,LAS,McCarran,Las Vegas,36.080471,-115.1433105,0.05,-0.01,-0.12,-0.05,-0.02,0.02,0.11,0.09,0.01,0.01,-0.05,
10,LAX,Los Angeles,Los Angeles,33.9455986,-118.3923035,0.05,0.05,0.02,-0.09,0.04,0.01,-0.01,0.05,-0.04,-0.13,-0.06,
11,MIA,Miami,Miami,25.7948704,-80.2722626,0.05,0.07,-0.05,-0.04,0.00,0.01,-0.05,-0.04,-0.06,-0.05,-0.09,
12,MSP,Minneapolis,Minneapolis,44.8797188,-93.1997375,0.00,0.01,-0.04,-0.01,-0.05,-0.11,-0.02,0.06,0.01,0.01,-0.04,
13,JFK,JFK,New York,40.6437111,-73.7900085,0.02,-0.04,-0.06,-0.01,0.17,0.09,0.09,0.14,-0.03,-0.02,-0.15,
14,LGA,LaGuardia,New York,40.7730789,-73.8756332,0.01,0.02,-0.07,-0.03,-0.02,-0.01,0.01,0.06,0.03,-0.01,-0.04,
15,EWR,Newark,Newark,40.6928787,-74.1854477,0.02,-0.02,-0.05,0.00,-0.02,0.02,0.00,0.08,0.00,-0.07,-0.03,
16,PHL,Philadelphia,Philadelphia,39.8747101,-75.2518997,-0.03,-0.03,-0.04,-0.02,-0.03,-0.04,0.10,0.09,-0.04,-0.01,-0.04,
17,PHX,Sky Harbor,Phoenix,33.4375801,-112.0312271,0.03,-0.02,-0.09,-0.07,-0.01,-0.02,0.02,0.01,-0.01,-0.01,-0.13,
18,SLC,Salt Lake City,Salt Lake City,40.7862206,-111.9822693,-0.01,-0.03,-0.04,-0.08,0.00,-0.07,0.11,0.03,-0.02,0.10,0.01,
19,SFO,San Francisco,San Francisco,37.614769,-122.3917923,0.04,0.02,-0.02,0.02,0.06,0.02,0.00,0.06,-0.05,-0.09,-0.10,
